[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:14:25.573Z | filteri: jarvis | vreme: 672ms
[INFO] 2026-06-10T14:14:26.473Z | filteri: jarvis | vreme: 815ms
[SERVER] Radi na http://localhost:8080
[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-12T17:58:46.295Z | filteri: grayscale | vreme: 34ms
[INFO] 2026-06-12T17:58:46.332Z | filteri: grayscale | vreme: 28ms
[INFO] 2026-06-12T17:58:46.361Z | filteri: contrast | vreme: 33ms
[INFO] 2026-06-12T17:58:46.396Z | filteri: flip | vreme: 37ms
[INFO] 2026-06-12T17:58:46.435Z | filteri: grayscale+contrast | vreme: 33ms
[ERROR] 2026-06-12T17:58:46.472Z | Nedostaju obavezna polja
[INFO] 2026-06-12T17:58:46.473Z | filteri: swirl | vreme: 35ms
[INFO] 2026-06-12T17:58:46.511Z | filteri: jarvis | vreme: 37ms
[INFO] 2026-06-12T17:58:46.550Z | filteri: grayscale+flip+contrast | vreme: 35ms
[INFO] 2026-06-12T17:58:46.588Z | filteri: grayscale | vreme: 42ms
[INFO] 2026-06-12T17:58:46.594Z | filteri: grayscale | vreme: 37ms
[INFO] 2026-06-12T17:58:46.593Z | filteri: grayscale | vreme: 40ms
[INFO] 2026-06-12T17:58:46.591Z | filteri: grayscale | vreme: 44ms
[INFO] 2026-06-12T17:58:46.595Z | filteri: grayscale | vreme: 46ms
[INFO] 2026-06-12T17:58:46.596Z | filteri: grayscale | vreme: 49ms
[INFO] 2026-06-12T17:58:46.597Z | filteri: grayscale | vreme: 50ms
[INFO] 2026-06-12T17:58:46.599Z | filteri: grayscale | vreme: 50ms
[INFO] 2026-06-12T17:58:46.603Z | filteri: grayscale | vreme: 47ms
[INFO] 2026-06-12T17:58:46.601Z | filteri: grayscale | vreme: 51ms
[ERROR] 2026-06-12T17:58:46.653Z | Image data size mismatch: ocekivano 100, dobijeno 99
[ERROR] 2026-06-12T17:58:46.654Z | Image data size mismatch: ocekivano 400, dobijeno 100
[INFO] 2026-06-12T18:20:51.277Z | filteri: grayscale | vreme: 37ms
[INFO] 2026-06-12T18:20:51.319Z | filteri: grayscale | vreme: 28ms
[INFO] 2026-06-12T18:20:51.349Z | filteri: contrast | vreme: 34ms
[INFO] 2026-06-12T18:20:51.385Z | filteri: flip | vreme: 29ms
[INFO] 2026-06-12T18:20:51.416Z | filteri: grayscale+contrast | vreme: 33ms
[ERROR] 2026-06-12T18:20:51.452Z | Nedostaju obavezna polja
[INFO] 2026-06-12T18:20:51.454Z | filteri: swirl | vreme: 24ms
[INFO] 2026-06-12T18:20:51.480Z | filteri: jarvis | vreme: 35ms
[INFO] 2026-06-12T18:20:51.518Z | filteri: grayscale+flip+contrast | vreme: 30ms
[INFO] 2026-06-12T18:20:51.556Z | filteri: grayscale | vreme: 39ms
[INFO] 2026-06-12T18:20:51.556Z | filteri: grayscale | vreme: 42ms
[INFO] 2026-06-12T18:20:51.559Z | filteri: grayscale | vreme: 41ms
